From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
13437;13319;impassable;-1;-1;-1;-1;-1;;mountain
13318;13447;impassable;-1;-1;-1;-1;-1;;mountain
13448;1843;sea;6805;-1;-1;-1;-1;;Keys
13526;13527;impassable;-1;-1;-1;-1;-1;;mountain
13526;13528;impassable;-1;-1;-1;-1;-1;;mountain
13318;13446;impassable;-1;-1;-1;-1;-1;;mountain
10482;13570;impassable;-1;-1;-1;-1;-1;;darien
10482;13569;impassable;-1;-1;-1;-1;-1;;darien
10482;13568;impassable;-1;-1;-1;-1;-1;;darien
10482;13567;impassable;-1;-1;-1;-1;-1;;darien
10482;7630;impassable;-1;-1;-1;-1;-1;;darien
13611;8088;impassable;-1;-1;-1;-1;-1;;sahara
13611;10731;impassable;-1;-1;-1;-1;-1;;sahara
13612;7041;impassable;-1;-1;-1;-1;-1;;sahara
13612;1095;impassable;-1;-1;-1;-1;-1;;sahara
13613;1043;impassable;-1;-1;-1;-1;-1;;sahara
13613;1095;impassable;-1;-1;-1;-1;-1;;sahara
13615;1043;impassable;-1;-1;-1;-1;-1;;sahara
13614;1043;impassable;-1;-1;-1;-1;-1;;sahara
5095;1095;impassable;-1;-1;-1;-1;-1;;sahara
5095;7041;impassable;-1;-1;-1;-1;-1;;sahara
10868;7041;impassable;-1;-1;-1;-1;-1;;sahara
13616;4913;impassable;-1;-1;-1;-1;-1;;sahara
13616;8128;impassable;-1;-1;-1;-1;-1;;sahara
13617;4913;impassable;-1;-1;-1;-1;-1;;sahara
13617;8128;impassable;-1;-1;-1;-1;-1;;sahara
13617;10917;impassable;-1;-1;-1;-1;-1;;sahara
13617;1956;impassable;-1;-1;-1;-1;-1;;sahara
10884;12866;impassable;-1;-1;-1;-1;-1;;sahara
12022;7985;impassable;-1;-1;-1;-1;-1;;sahara
8128;5095;impassable;-1;-1;-1;-1;-1;;sahara
1956;10805;impassable;-1;-1;-1;-1;-1;;sahara
13611;1095;impassable;-1;-1;-1;-1;-1;;sahara
13611;7041;impassable;-1;-1;-1;-1;-1;;sahara
-1;-1;;-1;-1;-1;-1;-1;-1
